project_reference_id,web_resource_reference_id,priority_order
kriegstein_sn_10x_proj,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/,0
lein_sn_10x,http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/,0
osten_stpt_proj,http://download.brainimagelibrary.org/biccn/osten/cellcounting/,0
yang_MORF_confocal_proj,http://download.brainimagelibrary.org/biccn/yang/morf/confocal/,0
zeng_anderson_sc_10xv2_proj,http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/,0
zeng_fmost_proj,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,0
zeng_mouselight_proj,http://download.brainimagelibrary.org/biccn/zeng/mouselight/,0
zeng_retro_proj,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,0
zeng_sc_10x_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,1
zeng_sc_10x_proj,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/,0
zeng_sc_SSv4_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,0
zeng_sn_10x_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/,1
zeng_sn_10x_proj,http://data.nemoarchive.org/biccn/grant/zeng/zeng/transcriptome/snuc/10X/raw/MOp_v3/,0
zeng_sn_SSv4_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,0
zeng_tolias_pseq_proj,http://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,1
zeng_tolias_pseq_proj,http://data.nemoarchive.org/biccn/grant/zeng/tolias/,0
zeng_tolias_pseq_proj,http://identifiers.org/DANDI:000008,2
zhuang_merfish_proj,http://download.brainimagelibrary.org/biccn/zeng/zhuang/merfish/,0
zhangK_snareseq,http://data.nemoarchive.org/biccn/grant/zhang/zhang/,0
zhangl_seqfish_proj,http://download.brainimagelibrary.org/biccn/zhangl/seqfish/,0
fischl_mri_proj,https://gui.dandiarchive.org/#/dandiset/000026,0
fischl_oct_proj,https://gui.dandiarchive.org/#/dandiset/000026,0
tasic_ATACseq_proj,https://data.nemoarchive.org/biccn/grant/zeng/tasic/chromatin/scell/,0
tasic_stpt_proj,https://download.brainimagelibrary.org/biccn/tasic/stpt/,0
zhangl_anatomy_proj,https://download.brainimagelibrary.org/biccn/zhangl/anatomy,0
human_cortex,https://celltypes.brain-map.org/rnaseq/human_ctx_smart-seq,0
regev_cisi_proj,https://github.com/cleary-lab/CISI,1
regev_cisi_proj,https://download.brainimagelibrary.org/biccn/regev/cisi,0
